id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
2306,1961,male,"non-black, non-hispanic",10,9,11.194,16000,7.21
2310,1963,female,black,16,9,31.605,42000,15.38
2313,1960,female,"non-black, non-hispanic",12,10,49.802,12000,6.97
2314,1957,male,"non-black, non-hispanic",12,12,61.328,58000,28.07
2318,1959,male,"non-black, non-hispanic",11,10,61.993,35000,16.82
2319,1961,female,"non-black, non-hispanic",8,10,19.582,8000,8.25
2322,1961,female,"non-black, non-hispanic",12,11,63.353,72000,30.76
2323,1963,male,"non-black, non-hispanic",16,8,39.111,90000,24.72
2324,1961,female,"non-black, non-hispanic",16,11,65.301,150000,57.69
2326,1961,male,"non-black, non-hispanic",12,9,28.79,70000,33.65
2328,1957,female,"non-black, non-hispanic",16,14,86.148,34000,16.34
2329,1958,male,"non-black, non-hispanic",14,14,69.687,54500,26.09
2331,1962,male,"non-black, non-hispanic",20,10,97.755,111258,46.55
2332,1959,male,"non-black, non-hispanic",15,12,71.851,36162,17.38
2333,1957,female,"non-black, non-hispanic",12,12,53.448,44000,20
2336,1957,male,"non-black, non-hispanic",18,14,77.766,41000,13.63
2338,1960,male,"non-black, non-hispanic",14,12,78.315,14000,12.01
2343,1960,male,"non-black, non-hispanic",16,11,51.182,55000,26.44
2347,1964,female,black,11,8,30.014,23000,11.15
2351,1961,male,black,12,11,29.414,50000,16.75
2353,1963,male,black,12,9,16.861,49000,23.2
2354,1959,male,black,10,9,12.891,5000,6.25
2356,1963,female,black,11,9,9.737,21000,9.21
2360,1960,female,black,14,12,43.07,49500,21.66
2362,1959,female,black,13,13,23.533,27000,13.46
2364,1957,female,black,11,11,2.055,1500,16.8
2368,1957,female,"non-black, non-hispanic",12,12,28.7,65000,35.5
2369,1957,female,"non-black, non-hispanic",20,14,49.737,95000,33.84
2370,1958,female,"non-black, non-hispanic",14,14,58.737,27500,13.79
2372,1964,male,"non-black, non-hispanic",16,9,93.923,106000,58.84
2375,1960,female,"non-black, non-hispanic",13,10,55.494,108000,37.76
2376,1964,male,"non-black, non-hispanic",12,8,71.019,64000,30.76
2377,1963,male,"non-black, non-hispanic",13,8,20.582,20000,11
2384,1963,male,hispanic,12,8,32.469,5000,10
2385,1960,male,hispanic,13,11,65.8,100000,40.69
2386,1961,male,hispanic,14,10,57.65,85000,34.69
2387,1964,female,hispanic,14,7,15.697,27000,17.3
2394,1958,female,"non-black, non-hispanic",12,12,75.648,55000,34.61
2398,1959,female,"non-black, non-hispanic",12,11,24.581,19000,10
2400,1962,female,"non-black, non-hispanic",11,10,83.187,30388,14.61
2410,1961,female,"non-black, non-hispanic",16,11,41.414,38000,21.63
2418,1959,female,"non-black, non-hispanic",12,12,34.796,49000,23.83
2419,1962,male,"non-black, non-hispanic",9,9,24.569,70000,20
2420,1964,female,"non-black, non-hispanic",10,7,32.849,10000,8.25
2421,1959,male,"non-black, non-hispanic",12,12,37.456,42500,10
2422,1962,male,"non-black, non-hispanic",14,9,69.107,18000,10.85
2424,1963,female,"non-black, non-hispanic",12,9,76.175,28000,15.94
2427,1963,male,"non-black, non-hispanic",12,8,47.464,30000,7.39
2433,1963,female,"non-black, non-hispanic",14,10,78.543,31000,19.15
2434,1958,female,"non-black, non-hispanic",12,12,62.347,35000,17.1
2436,1959,female,"non-black, non-hispanic",13,12,44.875,72000,28.07
2437,1960,female,"non-black, non-hispanic",14,11,79.569,45000,17.48
2438,1961,male,"non-black, non-hispanic",18,10,88.511,130000,50
2439,1962,male,"non-black, non-hispanic",12,9,68.273,49000,23.55
2442,1958,female,"non-black, non-hispanic",17,15,45.63,94000,45.19
2443,1962,male,"non-black, non-hispanic",14,9,56.491,29000,13.95
2444,1964,female,"non-black, non-hispanic",16,8,55.573,71000,34.18
2447,1958,female,"non-black, non-hispanic",12,12,48.144,40000,21.21
2450,1959,female,"non-black, non-hispanic",12,12,39.399,23388,11.24
2451,1959,male,"non-black, non-hispanic",12,12,57.518,37000,13.54
2452,1960,female,"non-black, non-hispanic",12,12,41.091,24000,12.45
2454,1964,female,"non-black, non-hispanic",14,8,37.211,36000,8.37
2461,1962,female,"non-black, non-hispanic",16,10,62.172,20000,11
2462,1959,female,"non-black, non-hispanic",11,11,32.803,8900,7.95
2463,1958,male,"non-black, non-hispanic",20,14,94.463,50000,21.85
2465,1963,male,"non-black, non-hispanic",17,9,95.56,22000,8.54
2468,1962,male,"non-black, non-hispanic",16,11,90.937,75000,15
2469,1960,female,"non-black, non-hispanic",16,12,34.414,75000,32.05
2470,1962,male,"non-black, non-hispanic",12,10,67.455,90000,28.84
2473,1964,female,"non-black, non-hispanic",13,8,97.301,55000,25.52
2475,1962,male,"non-black, non-hispanic",12,9,74.784,70000,26.35
2477,1964,male,"non-black, non-hispanic",15,8,75.661,30000,14.56
2478,1960,female,"non-black, non-hispanic",12,12,37.129,30000,15.8
2479,1962,male,"non-black, non-hispanic",12,10,69.48,35464,17
2481,1959,male,"non-black, non-hispanic",9,8,20.238,27000,15
2482,1960,female,"non-black, non-hispanic",9,8,25.665,25000,17.13
2483,1957,female,"non-black, non-hispanic",12,12,21.622,36000,17.46
2485,1964,female,"non-black, non-hispanic",11,8,25.739,35000,14.95
2488,1957,female,"non-black, non-hispanic",11,11,16.414,4800,10
2489,1959,male,"non-black, non-hispanic",12,13,57.85,34000,16.34
2491,1962,male,"non-black, non-hispanic",18,10,64.709,59000,28.36
2492,1964,female,"non-black, non-hispanic",13,8,38.249,58000,16.02
2494,1957,male,"non-black, non-hispanic",16,14,79.94,85000,134.61
2498,1957,male,"non-black, non-hispanic",12,12,39.968,20000,41.2
2501,1957,female,"non-black, non-hispanic",12,12,28.235,23000,11.31
2502,1962,male,"non-black, non-hispanic",18,10,88.459,125000,48.07
2504,1960,male,"non-black, non-hispanic",12,12,58.556,28000,13
2507,1958,female,"non-black, non-hispanic",14,14,16.574,43000,20.19
2509,1961,male,"non-black, non-hispanic",16,11,84.042,370314,61.53
2510,1963,female,"non-black, non-hispanic",14,8,80.41,18000,13
2512,1963,female,"non-black, non-hispanic",12,9,42.884,11700,9.32
2513,1964,male,"non-black, non-hispanic",12,8,32.682,4000,7.69
2514,1959,female,"non-black, non-hispanic",16,12,73.711,40000,16.17
